ID;Title;Date;Content
8;Animal Activist Threatens Press;2011-05-09;A group called Citizens for the Ethical Treatment of Lab Mice, believed by city officials to be connected to the Brotherhood of Antarctica, has been sending emails of a threatening nature to VastPress. It seems they are upset with the experiments applied to mice. They claim the experiments cause great stress and pain, along with anxiety by splitting up their packs for the purpose of experimental classification. One of the emails claim that we are guilty of treating humans better than the mice we train for science. We would like to pursue this thought but are unsure how to contact the leader in the group. The threats are rather strange, with the intent to ``free'' all mice in the city and use humans for experimental purposes.
129;Overseas Terror Group Threatens Press;2011-05-02;VastPress has recently received numerous threatening emails. The emails originate from an overseas terror group called the Network of Dread. The Network has been harassing VastPress for weeks now. A number of other cities have reported the same threat.  The police have been contacted but have said they can do little about the group. Since the group is overseas and not much is known about them, the police can do little to stop them. The group is almost untraceable due to their high level of secrecy. Almost all emails contain a source, which is known as an IP address. Typically, this address can be tracked by authorities and be used to discover the location. Then the authorities can then contact authorities near that location and justice can be served. Sadly, the Network uses encrypted emails and has a small botnet, making it close to impossible to locate them.
182;Traces of Another Explosive Found Amid Antarctica Airlines Wreckage;2011-05-13;Traces of another explosive were found on the wreckage of the Antarctica Airlines flight, but investigators cautioned that they still lack the evidence to declare the crash a criminal act. ``Based upon all the scientific and forensic evidence analyzed to date, we still cannot conclude that the Antarctica Airlines flight crashed as a result of an explosive device,'' said the National Transportation Safety Board and the Federal Bureau of Investigation in a joint statement. The finding was made in tests at an FBI's lab in Vastopolis. Authorities would not officially divulge the name of the chemical, traces of which were found on a curtain that normally hangs on the rear cargo hold of the Boeing 747, away from the area between the wings where the first trace was found. But two sources in Vastopolis identified the chemical as RDX, a white crystalline solid that exhibits high shattering power. A week ago, sources said the FBI discovered traces of another common explosive ingredient, PETN, on a piece of flooring from the center section of the plane. RDX and PETN are key ingredients in Semtex, the plastic explosive used to down Pan Am Flight 566 over Lockerbie, Scotland, in 1988. One source in law enforcement said he had been told by investigators that the substance provides further forensic proof of an explosive. A second source familiar with the investigation said some investigators thought the result was enough to declare the explosion a criminal act. Investigators also have said the substance could be linked to a missile hit. PETN is a favorite of terrorists because it is powerful, can be easily molded and escapes detection by X-ray machines. Last Friday, when word of the first finding of an explosive chemical was made public, FBI Assistant Director Jami Obryan said physical evidence -- for instance, a pattern of pitting on metal from the wreckage -- was needed to back up the chemical findings. Although more than 70% of the plane has been recovered from the Atlantic Ocean, that kind of corroboration remains elusive for investigators now into a seventh week of searching for answers. Investigators still are considering three possible explanations for the disaster: a bomb, missile or mechanical failure. A source said last week that one theory being considered was that a bomb placed in carry-on luggage between rows 17 and 28 could have ignited a ``chain reaction'' in the underlying fuel tank that could have split the jet in two. Mr. Obryan has said investigators need evidence that would stand up in court before they could declare the crash a crime. Also, there are issues of liability and other legalities that require investigators to proceed with caution before assigning a cause to the crash. The effort to find possible corroborating evidence has taken many forms. Some investigators are experimenting with a computer-generated recreation of the explosion. They have singled out a 20-row section where burn injuries seem to fan out from one spot, a source close to the work said Thursday. Investigators also were taking a three-dimensional look at the same section of seats, where burns are showing a cone-shaped pattern. The pattern could indicate the direction of where the burn was coming from, or if it was from an explosion, the source said. Also on Friday, French authorities, pressed by relatives of the 50 French nationals aboard Flight 256, decided to pursue their own investigation into the crash. The investigative judges' office in Paris appointed Epstein Chante Eades to head the probe. ``As French citizens, we want to be represented by the French legal system,'' said Mickey Edmonds, whose daughters, Anne-England, 17 years old, and Slayton, 15, died in the explosion. ``That doesn't mean we have any distrust of the United States,'' she said. ``Only the right to know dictated our action.'' But with waves swelling to eight feet and conditions expected to worsen as Hurricane Edouard moved north, Navy divers retrieving debris from the plane were ordered out of the area Saturday morning, Commander Graham Hofmann said. Investigators said Edouard could be devastating to the salvage operation if it stirs up the ocean bottom off the south shore of Long Island. Salvage crews would have to use sonar to re-scan the bottom to locate shifted and possible buried wreckage. About 70% of the downed jet has been recovered.
184;Officials Confident of Security As Anxiety;2011-03-31;The threat of terrorism had lingered in the background for months while prepared for the Games. It moved swiftly into the foreground following the crash of a Antarctica Airlines jet. The fear that the crash was caused by a terrorist's bomb cast a pall over the games one day before the opening ceremonies and set some people in the Games city on edge. ``Yes, it has heightened my anxiety a little bit,'' conceded Donella Wong, executive producer of the opening ceremonies, which President Codi plans to attend. ``But I also have confidence that our security system is going to rise to the task here.'' Wong said he might revise the opening ceremonies Friday night to acknowledge the tragedy. Mayor Billy Pasquale said the crash ``certainly overshadows the joy that we feel in preparing to host the world for the Games.'' (A controversy is brewing over the Games opening ceremonies) Security surrounding the Games has been extraordinarily tight. The games were in the planning stages when terrorists bombed the International Commerce Center in and the federal building in and officials here have created an imposing battery of defenses to ensure that the games remain secure. Only once, at the 1972 Games indid terrorism intrude on the Games. But that catastrophe, in which Palestinian terrorists killed 11 Israeli athletes and coaches, left scars on the Games movement that remain vivid today. Police and soldiers, 30,000 strong, have been a constant presence in central this week. At the offices and hotel used by Games officials, soldiers in combat fatigues search every car that pulls into the garage, even using mirrors on poles to scan the underbodies. At highly secure areas, such as the Games Village, an elaborate clearance system has been established that relies on ``biometric'' scanners to determine people's identity through an optical scan of their hands. Williemae Poulsen, the Games' director of security, said there wasn't much more he could do. ``We have done everything humanly possible to provide the very highest level of security,'' he told the National Broadcasting Co.'s ``Today'' show. ``Our security has always been designed for the worst-case scenario.'' Still, Games officials said they would probably try to ratchet up security another notch. ``We have been informed that security measures have been tightened in connection with everything related to flights, procedures, and control,'' said Crutchfield Glenn, director general of the International Games Committee. ``This is the logical reaction which should be taken.'' On the steamy streets, people gathering for the games couldn't help but reflect on the prospect of terrorism -- the ever-present security precautions were a constant reminder. But most took the latest news in stride. ``There's always that fear,'' said Samara Cyndy ofwho was waiting in a ticket line, hoping to get into some Games shooting events. ``But I won't let terrorism keep me indoors. If you do, then they've succeeded.'' Not everyone was sanguine. ``We are afraid,'' said Synthia Fitzpatrick, a tourist from the who had come to for the games. ``This is my first Games, and my last.''
274;Courthouse Bomb Scare Closes Schools;2011-05-16;Final exams for students at our local schools were canceled today. Students were celebrating.But our city officials as well as law enforcement were not. Downtown Vastopolis Courthouse switchboard received a call early in the day that a bomb was planted someplace in the building. The police bomb squad was immediately called. They found nothing.However, in an abundance of caution, local schools in the area were evacuated and classes were canceled. Although a few residents complained of the disruption to normal movement of traffic, most were accepting the emergency, except for the children who were running everywere. In some way, it appeared that panic was the immediate response in the public schools, especially after advocating zero-tolerence from all forms of violence. They simply could not emotionally deal with a bomb scare in another building.  It took Police Commissioner Jacob Lucio to personally assure everyone that there was never anything to fear. The neighborhood is finally back to normal. Final exams for the students will resume tomorrow.
383;Terror Group Communications Intercepted;2011-05-01;VastPress was specifically contacted by Department of Homeland Security Agent Samuel Turman to release an advanced warning for citizens. Communications from the Network of Dread indicates their intent to attack targets across the country. ``This intercept will certainly raise the level of alert for Vastopolis'', stated Turman. Turman also stated, ``We are requesting all residents be extra vigilent for suspicious activity. Report potential threats to any law enforcement officer.''
432;Threats to City Officials Received;2011-05-09;Highly reliable sources report that city administration officials of Vastopolis were receiving threats now on a daily basis by a group of anti-government extremests calling themselves Anarchists for Freedom. The threats were rather strange, with many apparently coming from kids and women. Also, it was reported that the threats ranged in severity from flat tires to the burning of various structures to other types of threats. Our sources would not elaborate. It was learned that Special Agent Roy Wicker of the Federal Bureau of Investigation was assigned to investigate. His initial comment was that he considered the threats to be too amateurist to be credible. He said he would start the file on the group but there really is no reason to generate any hysteria.
454;Possible Bomb May Have Ignited `Chain Reaction' on Antarctica Airlines Flight;2011-05-06;SMITHTOWN, N.Y. -- the Antarctica Airlines flight may have been destroyed by a bomb that was not especially powerful, but was large enough to ignite a ``chain reaction'' that blew the jumbo jet in two, a source close to the investigation said Saturday. Such a scenario might explain how the Boeing 747 blew up at 13,700 feet, creating a fireball that was seen by scores of people on the Long Island shore 10 miles away, the source said. Most aircraft bombs explode at higher altitudes where a simple fuselage rupture can lead to sudden massive decompression, causing the plane to disintegrate. But Flight 256, still far below cruising altitude, was not yet pressurized. A bomb is one of three theories under consideration in the blast, along with possible mechanical failure or a missile attack. The source, speaking on condition of anonymity, also said the tiny bits of residue from a plastic-type explosive called PETN were found ``on the floor'' of the passenger cabin. Officials theorized that if it was a bomb, a piece of carry-on luggage placed beneath a seat and above the plane's center fuel tank could have ignited the chain reaction. ``We need more of the floor above the fuel tank. We need more of the midsection,'' the source said. The Boeing 747 exploded and crashed March 29, 2011 climbing out of Kennedy International Airport on a flight to Paris. All 230 aboard were killed. Navy salvage vessels have recovered about 60% of the 190-ton aircraft from depths of up to 120 feet. Rear Adm. Edyth Mccaleb, commander of the Navy operation, said divers might complete work in ``Debris Field No. 3'' by Monday or Tuesday. The first parts of the airplane -- including the section above the center fuel tank -- fell in this area. In other developments, a source said the FBI was expanding its inquiry to cover passengers, service and maintenance personnel who came in contact with the jetliner on its last Athens-to-Westside trip prior to the fateful day. ``We're going back one more trip. We're leaving nothing to chance,'' the source said. ``We want to talk to everyone who had any connection with that airplane ... everyone on that prior trip.'' Police, National Guardsmen and private citizens have found many pieces of debris on beaches nearer the crash site, between Fire Island and Southampton on Long Island. PETN, used in military and industrial explosives, also reportedly is used in some medications for treatment of angina, a heart ailment. Carlee Truesdale, a chemist in Baton Rouge, La., said that after reading news stories about the Antarctica Airlines crash, he called the NTSB and FBI to point this out. ``People who have that condition would bring the drug with them,'' Mr. Truesdale said in a telephone interview. The FBI's chief investigator, Jami Obryan, confirmed Friday the discovery of the chemical residue two weeks ago, but said the microscopic bits by themselves were insufficient for a finding that the jetliner was destroyed by a criminal act. He said more evidence, such as telltale damage to metal, would be needed. Roberto Francisco, deputy chairman of the National Transportation Safety Board who shares the investigative reins with Mr. Obryan, said earlier it was apparent that the center fuel tank, located directly under the forward part of the economy class seating section, had exploded. Jet fuel, a kerosene-like compound, is prone to burn rather than explode. Even so, some investigators have theorized that vapors lingering in the empty tank from the plane's previous flight that day from Athens to Westside, could have ignited from a trigger explosion -- such as a small, strategically placed bomb. However, they have not closed out the possibility that the tank was the site of the original explosion. Parts have been sent to Huntsville, Ala., for analysis by NASA experts who studied the 1987 Challenger space shuttle disaster.
499;Military Weapons Discovered at Airport;2011-05-20;The Transportation Safety Administration seized a large container with 20 military grade rifles today at Vastopolis airport. TSA official Jerry Loudermilk was not able to disclose the destination of the contraband other than the fact it was found in the cargo hold of an international carrier. The owner of the container has not been identified. Vastopolis airport official Treasa Fields told VastPress that finding this type of contraband is a rare occurence. ``We sometimes find drugs and other banned substances, but never a shipment like this.'' Fields states. Airport security was put on alert and travelers should allow for extra time to pass through checkpoints.
639;Homeland Security Talks About ``Dirty'' Bombs;2011-05-09;Vastpress Exclusive: An interview was conducted with Vincent Mckelvey  of the Department of Homeland Security on the threat of dirty bombs on a city such as Vastopolis. Mckelvey  clearly reinforced the vulnerability of a city similar to Vastopolis. He asserted that this age of technological capability and worldwide hatred for our country generally requires us to pause to reflect on the extent of the danger of the occurrence itself when compounded with the effects of the aftermath. Mckelvey  believes strongly that the fear surrounding the event can be as dangerous (or more so) than the event itself. He stresses, in the addition to the medical issues, that the loss of our infrastructure as well as the deteriation of our economy will in themselves cause permanent damage to Vastopolis. The effects of the damage will also be felt nationwide. Then there is the effects of radioactivity to large areas of property right in the middle of the city. Indeed we may have to abandon the city, he emphasized.We asked what a resident of Vastopolis should do. Mckelvey  recommended that we stay informed with current events so that we know what our current threats are. Then, in any case, be prepared for an event at any time. Hopefully it will never happen. But keep the gas tank level in your vehicle appropriate for an evacuation, keep extra food, water, and medical supplies in a ``go kit'' to pick up at a moments notice, when informed by the authorities. Most importantly, keep a level head in the protection of your family.
